"coexpression","coexpression_transferred","combined_score","cooccurence","database","database_transferred","experiments","experiments_transferred","fusion","homology","interaction","name","neighborhood","neighborhood_transferred","protein1","protein2","selected","shared interaction","shared name","textmining","textmining_transferred"
"360","62","374","0","0","0","0","0","0","0","interacts with","CD300LF (interacts with) TAGAP","0","0","9606.ENSP00000462309","9606.ENSP00000356033","false","interacts with","CD300LF (interacts with) TAGAP","0","0"
"184","95","229","0","0","0","0","0","0","0","interacts with","ZAP70 (interacts with) GIMAP7","0","0","9606.ENSP00000264972","9606.ENSP00000315474","false","interacts with","ZAP70 (interacts with) GIMAP7","0","0"
"0","0","181","0","0","0","0","0","0","0","interacts with","MICA (interacts with) BST2","0","0","9606.ENSP00000413079","9606.ENSP00000252593","false","interacts with","MICA (interacts with) BST2","181","0"
"0","0","181","0","0","0","0","0","0","0","interacts with","BACH2 (interacts with) HLA-DQA1","0","0","9606.ENSP00000257749","9606.ENSP00000339398","false","interacts with","BACH2 (interacts with) HLA-DQA1","181","0"
"88","64","152","0","0","0","0","0","0","0","interacts with","CD28 (interacts with) GIMAP7","0","0","9606.ENSP00000324890","9606.ENSP00000315474","false","interacts with","CD28 (interacts with) GIMAP7","73","55"
"98","0","225","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) HLA-DQA1","0","0","9606.ENSP00000356033","9606.ENSP00000339398","false","interacts with","TAGAP (interacts with) HLA-DQA1","167","52"
"0","65","324","0","0","0","0","0","0","0","interacts with","FCGR1A (interacts with) BST2","0","0","9606.ENSP00000358165","9606.ENSP00000252593","false","interacts with","FCGR1A (interacts with) BST2","293","60"
"0","62","188","0","0","0","0","0","0","0","interacts with","CD8B (interacts with) HLA-DQA1","0","0","9606.ENSP00000331172","9606.ENSP00000339398","false","interacts with","CD8B (interacts with) HLA-DQA1","170","0"
"0","0","234","0","0","0","0","0","0","0","interacts with","TNFRSF25 (interacts with) BACH2","0","0","9606.ENSP00000367013","9606.ENSP00000257749","false","interacts with","TNFRSF25 (interacts with) BACH2","234","0"
"112","181","902","0","720","0","0","375","0","645","interacts with","HLA-DRB1 (interacts with) HLA-DQA1","0","0","9606.ENSP00000353099","9606.ENSP00000339398","false","interacts with","HLA-DRB1 (interacts with) HLA-DQA1","906","246"
"182","0","181","0","0","0","0","0","0","0","interacts with","ALOX5 (interacts with) GIMAP7","0","0","9606.ENSP00000363512","9606.ENSP00000315474","false","interacts with","ALOX5 (interacts with) GIMAP7","0","0"
"189","52","204","0","0","0","0","0","0","0","interacts with","CXCL9 (interacts with) GIMAP7","0","0","9606.ENSP00000354901","9606.ENSP00000315474","false","interacts with","CXCL9 (interacts with) GIMAP7","48","0"
"332","0","332","0","0","0","0","0","0","0","interacts with","TNFSF8 (interacts with) GIMAP7","0","0","9606.ENSP00000223795","9606.ENSP00000315474","false","interacts with","TNFSF8 (interacts with) GIMAP7","0","0"
"344","0","343","0","0","0","0","0","0","0","interacts with","WAS (interacts with) TAGAP","0","0","9606.ENSP00000365891","9606.ENSP00000356033","false","interacts with","WAS (interacts with) TAGAP","0","0"
"211","0","235","0","0","0","0","0","0","0","interacts with","RGS1 (interacts with) GIMAP7","0","0","9606.ENSP00000356429","9606.ENSP00000315474","false","interacts with","RGS1 (interacts with) GIMAP7","71","0"
"330","0","330","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) CORO1A","0","0","9606.ENSP00000356033","9606.ENSP00000219150","false","interacts with","TAGAP (interacts with) CORO1A","0","0"
"338","0","338","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) CLEC12A","0","0","9606.ENSP00000356033","9606.ENSP00000347916","false","interacts with","TAGAP (interacts with) CLEC12A","0","0"
"313","0","313","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) PLEK","0","0","9606.ENSP00000315474","9606.ENSP00000234313","false","interacts with","GIMAP7 (interacts with) PLEK","0","0"
"0","76","289","0","0","0","0","0","0","0","interacts with","CD40 (interacts with) ISG15","0","0","9606.ENSP00000361359","9606.ENSP00000368699","false","interacts with","CD40 (interacts with) ISG15","263","0"
"153","0","198","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) CLEC12A","0","0","9606.ENSP00000353099","9606.ENSP00000347916","false","interacts with","HLA-DRB1 (interacts with) CLEC12A","0","93"
"557","83","662","0","0","0","0","0","0","0","interacts with","TAGAP (interacts with) PLEK","0","0","9606.ENSP00000356033","9606.ENSP00000234313","false","interacts with","TAGAP (interacts with) PLEK","235","0"
"196","55","267","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) CORO1A","0","0","9606.ENSP00000315474","9606.ENSP00000219150","false","interacts with","GIMAP7 (interacts with) CORO1A","113","0"
"0","0","181","0","0","0","0","0","0","0","interacts with","HLA-DQA1 (interacts with) BACH2","0","0","9606.ENSP00000339398","9606.ENSP00000257749","false","interacts with","HLA-DQA1 (interacts with) BACH2","181","0"
"0","0","329","0","0","0","0","0","0","0","interacts with","IL2 (interacts with) TAGAP","0","0","9606.ENSP00000226730","9606.ENSP00000356033","false","interacts with","IL2 (interacts with) TAGAP","329","0"
"68","0","183","0","0","0","0","78","0","0","interacts with","BCL2A1 (interacts with) ISG15","0","0","9606.ENSP00000267953","9606.ENSP00000368699","false","interacts with","BCL2A1 (interacts with) ISG15","95","74"
"397","62","470","0","0","0","0","0","0","548","interacts with","ARHGAP9 (interacts with) TAGAP","0","0","9606.ENSP00000377380","9606.ENSP00000356033","false","interacts with","ARHGAP9 (interacts with) TAGAP","126","187"
"0","0","456","0","0","0","0","0","0","0","interacts with","CTLA4 (interacts with) BACH2","0","0","9606.ENSP00000303939","9606.ENSP00000257749","false","interacts with","CTLA4 (interacts with) BACH2","456","0"
"336","62","350","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) PLEK","0","0","9606.ENSP00000353099","9606.ENSP00000234313","false","interacts with","HLA-DRB1 (interacts with) PLEK","0","0"
"0","0","323","0","0","0","0","0","0","0","interacts with","IL18 (interacts with) ISG15","0","0","9606.ENSP00000280357","9606.ENSP00000368699","false","interacts with","IL18 (interacts with) ISG15","324","0"
"0","0","161","0","0","0","0","0","0","0","interacts with","INS (interacts with) ISG15","0","0","9606.ENSP00000380432","9606.ENSP00000368699","false","interacts with","INS (interacts with) ISG15","162","0"
"175","65","213","0","0","0","0","0","0","0","interacts with","HLA-DRB1 (interacts with) CORO1A","0","0","9606.ENSP00000353099","9606.ENSP00000219150","false","interacts with","HLA-DRB1 (interacts with) CORO1A","0","62"
"213","0","240","0","0","0","0","0","0","0","interacts with","GIMAP7 (interacts with) CLEC12A","0","0","9606.ENSP00000315474","9606.ENSP00000347916","false","interacts with","GIMAP7 (interacts with) CLEC12A","75","0"
"153","0","240","0","0","0","0","0","0","0","interacts with","HLA-B (interacts with) TAGAP","0","0","9606.ENSP00000399168","9606.ENSP00000356033","false","interacts with","HLA-B (interacts with) TAGAP","140","0"
"333","0","341","0","0","0","0","0","0","0","interacts with","CD93 (interacts with) GIMAP7","0","0","9606.ENSP00000246006","9606.ENSP00000315474","false","interacts with","CD93 (interacts with) GIMAP7","0","53"
"137","0","205","0","0","0","0","58","0","0","interacts with","LYN (interacts with) TAGAP","0","0","9606.ENSP00000428924","9606.ENSP00000356033","false","interacts with","LYN (interacts with) TAGAP","0","101"
"0","62","468","0","0","0","0","0","0","0","interacts with","CD8A (interacts with) ISG15","0","0","9606.ENSP00000386559","9606.ENSP00000368699","false","interacts with","CD8A (interacts with) ISG15","457","0"
